titre;auteur;genre;isbn;editeur;date_publication;nb_pages
Un parfum de cèdre;Ann-Marie MacDONALD;Fiction;9782890776685;J'ai Lu;;706
Milagro ou la guerre des haricots;John NICHOLS;Mexican Americans;9782904184871;Londreys;01/01/1988;606
Chroniques du pays des mères;Elisabeth VONARBURG;Science fiction, Canadian;9782922145311;Le Livre de Poche;01/01/1999;625
Hiram;Bernard LENTERIC;;9789502804170;Le Livre de Poche;01/12/2006;458
A fleur de peau;Jodi PICOULT;;9791022402798;Michel Lafon Poche;05/04/2018;660
Les mystères de Lisbonne;Camilo Castelo BRANCO;;9791022402811;Michel Lafon Poche;03/05/2018;741
Le Détroit du loup;Olivier TRUC;Fiction;9791022601283;Points;;420
L'Ange Gabriel;Bernard LENTERIC;Fiction;9791025101094;Le Livre de Poche;;419
Les Enfants de Salonique;Bernard LENTERIC;Fiction;9791025101100;Le Livre de Poche;30/04/2014;342
Substance B;Bernard LENTERIC;Fiction;9791025101711;Le Livre de Poche;;435
Voyante;Bernard LENTERIC;Fiction;9791025101728;Le Livre de Poche;;240
Le Livre des Baltimore;Joël DICKER;Fiction;9791032100103;Editions de Fallois;30/09/2015;480
Pirouettes;Marcel PAGNOL;Fiction;9791032100301;Pocket;03/10/2016;150
Vindicta;Cédric SiIRE;;9791033909347;Harper Collins;19/05/2021;789
Le Chant des coquillages;Sarah LARK;Fiction;9791039203500;Archipoche;19/05/2022;645
La fille de papier;Guillaume MUSSO;Fiction;9791091211741;Pocket;01/04/2010;384
Et Après...;Guillaume MUSSO;Fiction;9791091211802;Pocket;22/01/2004;368
Marlène;Hanni MUNZER;Literary Collections;97823773590004;Le Livre de Poche;06/02/2020;461
1Q84 T1;Haruki MURAKAMI;;;43374;09/02/2018;
1Q84 T2;Haruki MURAKAMI;;;43374;09/02/2018;
1Q84 T3;Haruki MURAKAMI;;;43374;09/02/2018;
23 heures pour sauver Paris;Philippe MADELIN;;;Pocket;09/02/2018;
A la conquête du royaume;Wilbur SMITH;;;Pocket;21/02/2018;
Abraham et fils;Martin WINCKLER;;;Folio;17/05/2018;
Ainsi saigne-t-il;Ian RANKIN;;;Folio;16/02/2018;
Allô, Hercule Poirot;Agatha CHRISTIE;Policier;;Le Masque;16/09/2009;128
Berlin;Paul-Loup SULITZER;;;Le Livre de Poche;28/02/2018;
Blé d'hiver;Mildrer WALKER;;;43374;28/02/2018;
Captive;Margaret ATWOOD;;;Pocket;;
Chasseur de nuages;Richard RAYNER;;;J'ai Lu;21/02/2018;
Cités à la dérive;Stratis TSIRKAS;;;Points;28/02/2018;
Comme des ombres sur la terre;James WELSH;;;43374;28/02/2018;
Comme un frère;David TREUER;;;43374;28/02/2018;
Compte numéroté;Christopher REICH;;;Le Livre de Poche;21/02/2018;
Corto Maltese;Hugo PRATT;;;Folio;16/02/2018;
Cour des mystères;Hugo PRATT;;;Folio;16/02/2018;
Dans le cercle sacré;Paul-Loup SULITZER;;;Le Livre de Poche;28/02/2018;
Dix indiens;Madison SMARTT BELL;;;Babel;21/02/2018;
Donato père et fille;Sandra SCOPPETTONE;;;Pocket;21/02/2018;
D'un bord à l'autre;Armistead MAUPIN;;;43374;09/02/2018;
El serpiente;Pierre NORD;;;G.P.;09/02/2018;
En chute libre;Clyde PHILLIPS;;;Murder Inc. Poche;16/02/2018;
Et la vie va presque droite;Anne TYLER;;;Le Livre de Poche;28/02/2018;
Fortune;Paul-Loup SULITZER;;;Le Livre de Poche;28/02/2018;
Illska;Eirikur ORN NORDDAHL;;;Points;10/02/2018;
Ils ont fait la grande guerre;Firmin Gustave TORTIGER;;;Villèles;28/02/2018;
Israël;Herman WOUK;;;Pocket;28/02/2018;
Jeunesse de renny;Mazo DE LA ROCHE;;;Le Livre de Poche;;
Jeux de mémoire;Christine ARNOTHY;;;Le Livre de Poche;;
Jihad Academy;Nicolas HENIN;;;Fayard;09/06/2018;
L' Empereur des rats;Bernard LENTERIC;;;Plon;23/10/2017;
La chèvre rouge;Alphonse NOEL;;;RTL Edition;09/02/2018;
La danse des paons;Sharon MAAS;;;J'ai Lu;09/02/2018;
La dernière frontière;Philippe LEROY;;;Points;23/10/2017;
La femme secrete;Bernard LENTERIC;Fiction;;Le Livre de Poche;23/10/2017;
La fortune des Laufer;Bernard LENTERIC;;;Le Livre de Poche;23/10/2017;
La gagne;Bernard LENTERIC;;;Le Livre de Poche;23/10/2017;
La guerre des cerveaux;Bernard LENTERIC;;;Le Livre de Poche;23/10/2017;
La guerre météo a commencé;Léonard LEOKUM;;;Trévise;23/10/2017;
La loi de nos pères;Scott TUROW;;;Le Livre de Poche;28/02/2018;
La muselière;Minette WALTERS;;;Pocket;28/02/2018;
La parfaite lumière;Eiji YOSHIKAWA;;;J'ai Lu;28/02/2018;
La pierre et le sable;Eiji YOSHIKAWA;;;J'ai Lu;28/02/2018;
La proie secrète;John SANDFORD;;;Pocket;21/02/2018;
La trahison Tristan;Robert LUDLUM;;;Le Livre de Poche;23/10/2017;
La troisième prophétie;Wilbur SMITH;;;Pocket;21/02/2018;
